Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3255683090,"Apr 4, 2020, 8:04:28 PM",Long run w/ Bryson and Bryan,Run,First time going out that far on this part of the trail. Nice long straight away. Kinda windy coming back. ,3777,16.17,,,FALSE,,HOKA Arahi 4,activities/3255683090.gpx,68,,3777,3670,16173.2,6.2,4.407,62.7,62.4,217.4,241.5,10.9,0,,,,,,,,,1358,,,,,,,,,,,,,,,,0,,1,16238.6,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3260704616,"Apr 5, 2020, 10:44:18 PM",Kayaking,Kayaking,,2249,2.85,,,FALSE,,,activities/3260704616.gpx,,,2249,2093,2854.5,4.7,1.364,2.6,1.3,216.9,219.6,8.2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3263732802,"Apr 6, 2020, 6:25:44 PM",Afternoon Run,Run,,2571,9.56,,,FALSE,,HOKA Arahi 4,activities/3263732802.gpx,68,,2571,2556,9564.7,5.5,3.742,71,71,241.1,268.7,8.9,0,,,,,,,,,808,,,,,,,,,,,,,,,,0,,1,9664,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3268192049,"Apr 7, 2020, 7:00:16 PM",Warmup,Run,,617,1.99,,,FALSE,,HOKA Arahi 4,activities/3268192049.gpx,68,,617,617,1992.9,4.6,3.23,8.3,9.1,242.5,249.8,3.2,0,,,,,,,,,167,,,,,,,,,,,,,,0,,0,,1,1996.4,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3268256645,"Apr 7, 2020, 7:15:32 PM",3200,Run,I don’t know why but that felt awful. Not as fast as I would like.,645,3.29,,,FALSE,,HOKA Arahi 4,activities/3268256645.gpx,68,,645,645,3297.7,7.9,5.113,16.3,16.8,239.6,249.8,2.9,0,,,,,,,,,276,,,,,,,,,,,,,,0,,0,,1,3306.9,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3268348046,"Apr 7, 2020, 7:32:37 PM",Cool down ,Run,,1375,4.54,,,FALSE,,HOKA Arahi 4,activities/3268348046.gpx,68,,1375,1362,4543.8,5.6,3.336,21.8,23,233.5,249.8,3.8,0,,,,,,,,,381,,,,,,,,,,,,,,,,0,,1,4556.4,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3271812562,"Apr 8, 2020, 4:05:58 PM",Lunch Run,Run,,2198,8.09,,,FALSE,,HOKA Arahi 4,activities/3271812562.gpx,68,,2198,2072,8093.8,6,3.906,51.9,51.9,229.2,256.1,8.3,0,,,,,,,,,682,,,,,,,,,,,,,,,,0,,1,8160.5,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3276688248,"Apr 9, 2020, 6:10:56 PM",Warm up,Run,,435,1.68,,,FALSE,,HOKA Arahi 4,activities/3276688248.gpx,68,,435,435,1681.4,4.9,3.865,11.5,11.9,230.7,234.7,6.8,0,,,,,,,,,142,,,,,,,,,,,,,,,,0,,1,1699.8,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3276922843,"Apr 9, 2020, 6:44:14 PM",Afternoon Run,Run,,1894,6.54,,,FALSE,,HOKA Arahi 4,activities/3276922843.gpx,68,,1894,1815,6548.4,5,3.608,48.6,48.9,217.8,235.4,25,0,,,,,,,,,553,,,,,,,,,,,,,,,,0,,1,6611.8,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281389845,"Apr 10, 2020, 6:32:45 PM",Exploring Solon,Run,,3605,10.04,,,FALSE,,HOKA Arahi 4,activities/3281389845.gpx,68,,3605,2593,10044.8,5.7,3.874,85,83,223.2,252.8,22.3,0,,,,,,,,,850,,,,,,,,,,,,,,,,0,,1,10168.7,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3294360051,"Apr 13, 2020, 4:09:09 PM",I ate too much junk on Easter,Run,And the wind sucked ,2213,8.22,,,FALSE,,HOKA Arahi 4,activities/3294360051.gpx,68,,2213,2189,8228.1,5.5,3.759,34.7,34.7,221.6,249.4,3.1,0,,,,,,,,,690,,,,,,,,,,,,,,,,0,,1,8249.9,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299416614,"Apr 14, 2020, 6:53:58 PM",Gotta love Pahas,Run,It was super windy and cold. Not fun at all.,3239,8.05,,,FALSE,,HOKA Arahi 4,activities/3299416614.gpx,68,,3239,2339,8054.8,10.3,3.444,78.6,82.8,239.5,268.7,40.9,-0.1,,,,,,,,,686,,,,,,,,,,,,,,,,0,,1,8207.9,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
