Activity Date,Activity Type,Moving Time,weekday,month,year,day_of_year,Moving Time_normalized
2025-02-05 00:00:42,Run,993,2,2,2025,36,-0.8873815794416241
2025-02-04 22:40:15,Ride,3601,1,2,2025,35,0.32481042094726853
2025-02-03 16:56:52,Swim,1918,0,2,2025,34,-0.45744384924234277
2025-02-02 21:36:06,Run,4231,6,2,2025,33,0.6176328750289413
2025-02-01 17:35:38,Workout,5763,5,2,2025,32,1.3297027157481833
2025-01-31 21:40:55,Workout,4486,4,1,2025,31,0.7361562493000945
2025-01-31 17:09:16,Swim,1355,4,1,2025,31,-0.7191248677312027
2025-01-30 19:58:56,Ride,4649,3,1,2025,30,0.8119182493244003
2025-01-29 20:19:10,Run,2900,2,1,2025,29,-0.0010126589118625037
2025-01-27 20:21:38,Run,3054,0,1,2025,27,0.07056616319699083
2025-01-27 17:07:22,Swim,1544,0,1,2025,27,-0.6312781315067009
2025-01-26 20:08:06,Ride,3709,6,1,2025,26,0.37500855593269816
2025-01-24 16:35:43,Swim,916,4,1,2025,24,-0.9231709904960508
2025-01-23 22:45:18,Run,2580,3,1,2025,23,-0.14974787368350578
2025-01-22 22:12:43,Run,2669,2,1,2025,22,-0.1083808920751425
2025-01-21 14:39:39,Swim,870,1,1,2025,21,-0.9445516776194746
2025-01-17 22:19:59,Snowshoe,7550,4,1,2025,17,2.160295930738579
2025-01-15 17:51:59,Alpine Ski,10626,2,1,2025,15,3.590013182731
2025-01-14 17:12:40,Alpine Ski,12300,1,1,2025,14,4.368084275005159
2025-01-13 18:15:26,Alpine Ski,7474,0,1,2025,13,2.1249713172303135
2025-01-12 20:28:37,Hike,3893,6,1,2025,12,0.460531304426393
2025-01-10 21:32:54,Run,2420,4,1,2025,10,-0.2241154810693274
2025-01-09 21:47:38,Run,3750,3,1,2025,9,0.39406525532531494
2025-01-07 21:12:11,Run,2924,1,1,2025,7,0.010142482196010742
2025-01-06 19:13:09,Run,2287,0,1,2025,6,-0.28593355470879167
2025-01-04 19:06:04,Run,3737,5,1,2025,4,0.38802288722521694
2025-01-03 23:44:22,Run,3325,4,1,2025,3,0.1965262982067262
2024-12-31 23:15:49,Swim,27,1,12,2024,366,-1.3363760090335222
2024-12-30 18:38:38,Run,3796,0,12,2024,365,0.41544594244873867
2024-12-29 16:35:12,Run,6115,6,12,2024,364,1.493311451996991
2024-12-27 21:25:50,Run,3526,4,12,2024,362,0.2899506049851647
2024-12-26 22:24:49,Run,4300,3,12,2024,361,0.6497039057140768
2024-12-24 17:03:08,Run,1807,1,12,2024,359,-0.5090363768662566
2024-12-23 15:26:29,Run,4365,0,12,2024,358,0.6799157462145669
2024-12-22 18:00:10,Run,2148,6,12,2024,357,-0.3505404136252242
2024-12-21 18:55:06,Swim,472,5,12,2024,356,-1.1295411009917058
2024-12-20 22:00:13,Run,3044,4,12,2024,355,0.06591818773537697
2024-12-19 19:03:46,Ride,4301,3,12,2024,354,0.6501687032602382
2024-12-16 19:26:37,Run,2113,0,12,2024,351,-0.3668083277408727
2024-12-13 11:32:56,Run,3239,4,12,2024,348,0.15655370923684708
2024-12-10 19:08:13,Run,2768,1,12,2024,345,-0.06236593500516535
2024-12-09 18:46:09,Run,2023,0,12,2024,344,-0.40864010689539737
2024-12-06 13:14:49,Run,1667,4,12,2024,341,-0.5741080333288505
2024-12-05 13:09:30,Run,2566,3,12,2024,340,-0.15625503932976517
2024-12-03 14:40:59,Run,3598,1,12,2024,338,0.3234160283087844
2024-12-01 21:16:01,Workout,393,6,12,2024,336,-1.1662601071384553
2024-12-01 17:59:10,Run,1966,6,12,2024,336,-0.4351335670265963
2024-11-29 09:49:07,Run,2413,4,11,2024,334,-0.22736906389245712
2024-11-27 14:07:01,Swim,106,2,11,2024,332,-1.2996570028867729
2024-11-26 23:22:05,Workout,852,1,11,2024,331,-0.9529180334503794
2024-11-25 22:41:50,Run,1585,0,11,2024,330,-0.6122214321140841
2024-11-24 15:05:23,Run,2240,6,11,2024,329,-0.30777903937837675
2024-11-23 21:20:51,Workout,2085,5,11,2024,328,-0.37982265903339146
2024-11-22 13:37:47,Run,2557,4,11,2024,327,-0.16043821724521765
2024-11-21 21:10:59,Run,2548,3,11,2024,326,-0.1646213951606701
2024-11-20 14:34:34,Swim,1165,2,11,2024,325,-0.8074364015018659
2024-11-18 17:32:36,Run,1412,0,11,2024,323,-0.6926314076000037
2024-11-16 10:13:22,Run,6970,5,11,2024,321,1.8907133539649754
2024-11-04 10:52:15,Hike,7750,0,11,2024,309,2.253255439970856
2024-10-31 15:18:31,Run,3531,3,10,2024,305,0.29227459271597156
2024-10-29 16:04:16,Run,2306,1,10,2024,303,-0.2771024013317253
2024-10-28 19:14:40,Run,3320,0,10,2024,302,0.1942023104759193
2024-10-24 12:50:26,Run,4284,3,10,2024,298,0.6422671449754946
2024-10-22 15:07:44,Run,2094,1,10,2024,296,-0.375639481117939
2024-10-21 16:51:22,Run,2033,0,10,2024,295,-0.4039921314337835
2024-10-18 09:36:25,Run,3059,4,10,2024,292,0.07289015092779774
2024-10-14 09:38:58,Run,2747,0,10,2024,288,-0.07212668347455445
2024-10-13 14:08:50,Run,4354,6,10,2024,287,0.6748029732067916
2024-10-11 09:42:55,Run,2758,4,10,2024,285,-0.06701391046677921
